Target Distance:50, Step size:1
1311: (x,y)=(-9.42403,16.6031)
1312: (x,y)=(-10.1554,17.2851)
1313: (x,y)=(-9.52607,18.0622)
1314: (x,y)=(-9.25043,19.0235)
1315: (x,y)=(-10.2407,18.8843)
1316: (x,y)=(-11.0697,18.3251)
1317: (x,y)=(-11.5697,19.1911)
1318: (x,y)=(-12.2125,18.4251)
1319: (x,y)=(-11.218,18.5296)
1320: (x,y)=(-10.2844,18.888)
1321: (x,y)=(-9.72523,18.0589)
1322: (x,y)=(-8.72538,18.0415)
1323: (x,y)=(-8.25591,18.9244)
1324: (x,y)=(-8.20357,17.9258)
1325: (x,y)=(-8.41149,16.9477)
1326: (x,y)=(-7.55432,17.4627)
1327: (x,y)=(-7.81314,16.4968)
1328: (x,y)=(-8.6703,15.9817)
1329: (x,y)=(-9.6665,15.8946)
1330: (x,y)=(-9.05084,16.6826)
1331: (x,y)=(-8.17622,17.1674)
1332: (x,y)=(-7.22516,17.4764)
1333: (x,y)=(-8.22455,17.4415)
1334: (x,y)=(-8.94389,16.7468)
1335: (x,y)=(-9.59995,15.9921)
1336: (x,y)=(-9.54761,14.9935)
1337: (x,y)=(-10.5324,15.1672)
1338: (x,y)=(-9.88963,14.4011)
1339: (x,y)=(-10.1146,13.4267)
1340: (x,y)=(-9.12432,13.2876)
1341: (x,y)=(-9.93333,13.8754)
1342: (x,y)=(-9.7769,12.8877)
1343: (x,y)=(-9.14758,13.6648)
1344: (x,y)=(-9.02571,12.6723)
1345: (x,y)=(-9.72037,11.9529)
1346: (x,y)=(-10.5395,11.3794)
1347: (x,y)=(-11.4731,11.7377)
1348: (x,y)=(-11.508,10.7383)
1349: (x,y)=(-11.6988,9.7567)
1350: (x,y)=(-11.9238,8.78233)
1351: (x,y)=(-12.8301,8.35971)
1352: (x,y)=(-12.2144,9.14772)
1353: (x,y)=(-11.8237,8.22722)
1354: (x,y)=(-11.6158,7.24907)
1355: (x,y)=(-10.8611,6.59301)
1356: (x,y)=(-10.6361,7.56738)
1357: (x,y)=(-11.0745,6.66859)
1358: (x,y)=(-10.8326,7.63888)
1359: (x,y)=(-10.9371,8.63341)
1360: (x,y)=(-11.6684,7.95141)
1361: (x,y)=(-11.0391,8.72855)
1362: (x,y)=(-10.1328,9.15117)
1363: (x,y)=(-10.876,8.48204)
1364: (x,y)=(-11.0496,7.49723)
1365: (x,y)=(-10.3425,8.20434)
1366: (x,y)=(-11.3425,8.20434)
1367: (x,y)=(-10.8126,9.05239)
1368: (x,y)=(-10.7602,8.05376)
1369: (x,y)=(-9.79431,8.31258)
1370: (x,y)=(-9.86407,7.31501)
1371: (x,y)=(-10.6521,7.93068)
1372: (x,y)=(-11.5918,7.58866)
1373: (x,y)=(-12.0301,6.68986)
1374: (x,y)=(-11.0453,6.51621)
1375: (x,y)=(-12.0156,6.75814)
1376: (x,y)=(-12.7103,6.0388)
1377: (x,y)=(-13.65,6.38082)
1378: (x,y)=(-13.2432,5.46727)
1379: (x,y)=(-14.2394,5.38011)
1380: (x,y)=(-14.813,4.56096)
1381: (x,y)=(-13.984,5.12016)
1382: (x,y)=(-13.4248,4.29112)
1383: (x,y)=(-12.8512,3.47197)
1384: (x,y)=(-12.0632,4.08763)
1385: (x,y)=(-13.063,4.10508)
1386: (x,y)=(-12.2244,4.64972)
1387: (x,y)=(-12.2941,3.65215)
1388: (x,y)=(-11.7941,2.78613)
1389: (x,y)=(-11.4195,3.71331)
1390: (x,y)=(-12.2387,3.13974)
1391: (x,y)=(-11.4726,3.78252)
1392: (x,y)=(-12.2713,4.38434)
1393: (x,y)=(-13.1542,3.91487)
1394: (x,y)=(-12.6694,4.78949)
1395: (x,y)=(-13.4355,4.1467)
1396: (x,y)=(-13.0447,5.0672)
1397: (x,y)=(-12.1111,5.42557)
1398: (x,y)=(-12.8182,6.13268)
1399: (x,y)=(-11.857,5.85704)
1400: (x,y)=(-10.8571,5.83959)
1401: (x,y)=(-11.3419,4.96497)
1402: (x,y)=(-10.376,5.22379)
1403: (x,y)=(-9.41476,4.94815)
1404: (x,y)=(-8.50121,5.35489)
1405: (x,y)=(-9.4284,4.98028)
1406: (x,y)=(-8.65125,5.6096)
1407: (x,y)=(-9.5648,6.01634)
1408: (x,y)=(-8.57225,6.13821)
1409: (x,y)=(-7.78424,6.75387)
1410: (x,y)=(-6.79397,6.6147)
1411: (x,y)=(-5.79534,6.66703)
1412: (x,y)=(-5.83024,7.66642)
1413: (x,y)=(-6.7915,7.94206)
1414: (x,y)=(-6.84384,6.94343)
1415: (x,y)=(-7.83836,6.8389)
1416: (x,y)=(-6.96374,6.35409)
1417: (x,y)=(-6.25664,5.64699)
1418: (x,y)=(-5.36563,5.193)
1419: (x,y)=(-6.00842,4.42695)
1420: (x,y)=(-5.86924,3.43668)
1421: (x,y)=(-6.79643,3.06208)
1422: (x,y)=(-6.35806,3.96087)
1423: (x,y)=(-6.70008,4.90056)
1424: (x,y)=(-7.68776,5.057)
1425: (x,y)=(-6.7265,4.78136)
1426: (x,y)=(-5.76524,4.50572)
1427: (x,y)=(-5.52332,5.47602)
1428: (x,y)=(-6.41433,5.02203)
1429: (x,y)=(-7.32063,4.59941)
1430: (x,y)=(-6.42963,5.0534)
1431: (x,y)=(-6.77165,5.99309)
1432: (x,y)=(-7.61032,6.53773)
1433: (x,y)=(-8.11032,7.40376)
1434: (x,y)=(-8.86503,6.7477)
1435: (x,y)=(-9.23963,5.82051)
1436: (x,y)=(-9.94674,6.52762)
1437: (x,y)=(-9.54,7.44117)
1438: (x,y)=(-9.88202,6.50147)
1439: (x,y)=(-10.0557,7.48628)
1440: (x,y)=(-9.05811,7.41653)
1441: (x,y)=(-9.19728,8.40679)
1442: (x,y)=(-8.20109,8.49395)
1443: (x,y)=(-7.26751,8.85232)
1444: (x,y)=(-6.31645,8.5433)
1445: (x,y)=(-7.22276,8.96592)
1446: (x,y)=(-7.85208,9.74306)
1447: (x,y)=(-8.85071,9.69073)
1448: (x,y)=(-9.83233,9.88154)
1449: (x,y)=(-8.95772,9.39673)
1450: (x,y)=(-8.12868,8.83753)
1451: (x,y)=(-8.28511,9.82522)
1452: (x,y)=(-9.06226,9.1959)
1453: (x,y)=(-9.70505,8.42986)
1454: (x,y)=(-8.73912,8.68868)
1455: (x,y)=(-8.89555,9.67637)
1456: (x,y)=(-9.73422,10.221)
1457: (x,y)=(-10.5729,10.7656)
1458: (x,y)=(-11.0577,9.89102)
1459: (x,y)=(-12.0539,9.80387)
1460: (x,y)=(-12.9875,9.4455)
1461: (x,y)=(-13.7535,8.80271)
1462: (x,y)=(-14.1603,7.88917)
1463: (x,y)=(-13.7857,6.96198)
1464: (x,y)=(-13.0425,6.29285)
1465: (x,y)=(-12.3232,6.98751)
1466: (x,y)=(-11.3488,6.76256)
1467: (x,y)=(-11.6412,5.80626)
1468: (x,y)=(-11.0119,5.02911)
1469: (x,y)=(-10.5119,5.89513)
1470: (x,y)=(-11.4862,6.12009)
1471: (x,y)=(-12.3054,5.54651)
1472: (x,y)=(-13.1714,5.04651)
1473: (x,y)=(-13.8142,4.28046)
1474: (x,y)=(-14.7801,4.53928)
1475: (x,y)=(-15.5233,3.87015)
1476: (x,y)=(-16.4976,3.6452)
1477: (x,y)=(-16.1556,4.5849)
1478: (x,y)=(-15.7972,3.65131)
1479: (x,y)=(-15.0425,4.30737)
1480: (x,y)=(-15.6303,3.49836)
1481: (x,y)=(-15.3715,2.53243)
1482: (x,y)=(-16.3715,2.53243)
1483: (x,y)=(-16.1127,3.49836)
1484: (x,y)=(-17.1127,3.49836)
1485: (x,y)=(-16.2646,2.96844)
1486: (x,y)=(-17.2645,2.98589)
1487: (x,y)=(-17.2645,1.98589)
1488: (x,y)=(-17.6391,1.05871)
1489: (x,y)=(-17.2165,1.96501)
1490: (x,y)=(-17.3383,2.95756)
1491: (x,y)=(-17.9677,3.73471)
1492: (x,y)=(-17.5293,4.6335)
1493: (x,y)=(-18.1984,3.89036)
1494: (x,y)=(-19.0894,4.34435)
1495: (x,y)=(-20.0457,4.63672)
1496: (x,y)=(-20.2707,5.61109)
1497: (x,y)=(-19.7859,6.48571)
1498: (x,y)=(-20.3158,7.33376)
1499: (x,y)=(-19.3255,7.19458)
1500: (x,y)=(-19.8554,8.04263)
1501: (x,y)=(-19.4171,7.14384)
1502: (x,y)=(-19.9906,7.96299)
1503: (x,y)=(-20.4446,8.85399)
1504: (x,y)=(-20.6866,7.8837)
1505: (x,y)=(-19.6963,8.02287)
1506: (x,y)=(-20.0709,7.09569)
1507: (x,y)=(-21.0703,7.06079)
1508: (x,y)=(-21.8583,7.67645)
1509: (x,y)=(-22.7718,7.26971)
1510: (x,y)=(-23.768,7.18256)
1511: (x,y)=(-22.8545,6.77582)
1512: (x,y)=(-23.0624,7.75397)
1513: (x,y)=(-23.5624,6.88794)
1514: (x,y)=(-23.5449,5.8881)
1515: (x,y)=(-22.9431,5.08946)
1516: (x,y)=(-21.9819,4.81382)
1517: (x,y)=(-22.96,5.02173)
1518: (x,y)=(-22.3582,5.82037)
1519: (x,y)=(-21.799,4.99133)
1520: (x,y)=(-21.7467,3.9927)
1521: (x,y)=(-22.0887,3.05301)
1522: (x,y)=(-22.9716,3.52248)
1523: (x,y)=(-23.9619,3.38331)
1524: (x,y)=(-22.9643,3.45307)
1525: (x,y)=(-22.8598,2.45854)
1526: (x,y)=(-22.6179,1.48825)
1527: (x,y)=(-23.5838,1.22943)
1528: (x,y)=(-24.5174,1.5878)
1529: (x,y)=(-24.5697,0.589167)
1530: (x,y)=(-24.5,-0.408397)
1531: (x,y)=(-25.015,0.44877)
1532: (x,y)=(-24.1579,0.963808)
1533: (x,y)=(-23.1585,0.928909)
1534: (x,y)=(-24.1583,0.911456)
1535: (x,y)=(-24.4507,-0.0448485)
1536: (x,y)=(-25.1453,0.674491)
1537: (x,y)=(-25.5521,1.58804)
1538: (x,y)=(-25.8444,0.631732)
1539: (x,y)=(-26.5516,1.33884)
1540: (x,y)=(-26.7252,2.32365)
1541: (x,y)=(-25.8189,1.90103)
1542: (x,y)=(-24.8373,2.09184)
1543: (x,y)=(-23.8411,2.00468)
1544: (x,y)=(-23.5823,2.97061)
1545: (x,y)=(-22.9804,2.17197)
1546: (x,y)=(-23.8792,1.7336)
1547: (x,y)=(-24.7453,2.2336)
1548: (x,y)=(-23.755,2.37277)
1549: (x,y)=(-22.8562,1.9344)
1550: (x,y)=(-23.0126,0.946714)
1551: (x,y)=(-22.0224,0.807541)
1552: (x,y)=(-21.1019,1.19827)
1553: (x,y)=(-21.6896,2.00729)
1554: (x,y)=(-22.6745,1.83364)
1555: (x,y)=(-23.6404,1.57482)
1556: (x,y)=(-22.7132,1.94943)
1557: (x,y)=(-23.2724,1.12039)
1558: (x,y)=(-24.2686,1.20755)
1559: (x,y)=(-24.5941,0.262028)
1560: (x,y)=(-23.9785,1.05004)
1561: (x,y)=(-23.7706,2.02819)
1562: (x,y)=(-22.9719,1.42637)
1563: (x,y)=(-23.9055,1.78474)
1564: (x,y)=(-23.0309,1.29993)
1565: (x,y)=(-22.3362,2.01927)
1566: (x,y)=(-22.8211,2.89389)
1567: (x,y)=(-23.4229,3.69253)
1568: (x,y)=(-24.4154,3.81439)
1569: (x,y)=(-25.3813,3.55558)
1570: (x,y)=(-25.2942,4.55177)
1571: (x,y)=(-25.4334,3.5615)
1572: (x,y)=(-26.3397,3.98412)
1573: (x,y)=(-26.2699,4.98168)
1574: (x,y)=(-25.8473,5.88799)
1575: (x,y)=(-26.7133,5.38799)
1576: (x,y)=(-26.4545,6.35392)
1577: (x,y)=(-26.4196,5.35453)
1578: (x,y)=(-27.3707,5.66354)
1579: (x,y)=(-26.3761,5.55902)
1580: (x,y)=(-26.1005,6.52028)
1581: (x,y)=(-27.0277,6.14567)
1582: (x,y)=(-27.0451,7.14552)
1583: (x,y)=(-26.0888,6.85315)
1584: (x,y)=(-25.0888,6.85315)
1585: (x,y)=(-25.2453,5.86546)
1586: (x,y)=(-25.5708,4.91994)
1587: (x,y)=(-24.9415,4.14279)
1588: (x,y)=(-24.4415,3.27677)
1589: (x,y)=(-25.2896,2.74685)
1590: (x,y)=(-26.1186,3.30604)
1591: (x,y)=(-25.1789,2.96402)
1592: (x,y)=(-24.7405,3.86282)
1593: (x,y)=(-23.7411,3.82792)
1594: (x,y)=(-23.2563,4.70254)
1595: (x,y)=(-23.0314,3.72817)
1596: (x,y)=(-22.0388,3.85004)
1597: (x,y)=(-22.2808,4.82033)
1598: (x,y)=(-23.1194,5.36497)
1599: (x,y)=(-23.0149,6.35949)
1600: (x,y)=(-22.1403,5.87468)
1601: (x,y)=(-22.0531,4.87849)
1602: (x,y)=(-21.8795,3.89368)
1603: (x,y)=(-21.0504,3.33449)
1604: (x,y)=(-21.8276,2.70517)
1605: (x,y)=(-20.9889,3.24981)
1606: (x,y)=(-19.9944,3.14528)
1607: (x,y)=(-20.7824,3.76094)
1608: (x,y)=(-19.808,3.98589)
1609: (x,y)=(-19.0649,3.31676)
1610: (x,y)=(-19.3905,2.37124)
1611: (x,y)=(-20.3891,2.3189)
1612: (x,y)=(-21.3707,2.50971)
1613: (x,y)=(-21.2836,3.50591)
1614: (x,y)=(-20.4449,2.96127)
1615: (x,y)=(-19.6257,2.38769)
1616: (x,y)=(-18.7194,1.96507)
1617: (x,y)=(-19.6591,2.30709)
1618: (x,y)=(-19.6591,1.30709)
1619: (x,y)=(-19.694,0.307704)
1620: (x,y)=(-19.9359,1.278)
1621: (x,y)=(-20.9262,1.41717)
1622: (x,y)=(-21.0999,0.432365)
1623: (x,y)=(-21.843,-0.236766)
1624: (x,y)=(-21.9994,0.750923)
1625: (x,y)=(-22.5586,-0.0781148)
1626: (x,y)=(-22.8174,-1.04404)
1627: (x,y)=(-22.8523,-2.04343)
1628: (x,y)=(-22.0976,-1.38737)
1629: (x,y)=(-21.3905,-0.680266)
1630: (x,y)=(-22.3302,-1.02229)
1631: (x,y)=(-22.8894,-1.85132)
1632: (x,y)=(-23.882,-1.97319)
1633: (x,y)=(-23.6063,-1.01193)
1634: (x,y)=(-24.5911,-1.18558)
1635: (x,y)=(-23.7165,-0.70077)
1636: (x,y)=(-22.7179,-0.753106)
1637: (x,y)=(-23.2179,-1.61913)
1638: (x,y)=(-23.4767,-2.58506)
1639: (x,y)=(-24.3513,-2.10025)
1640: (x,y)=(-25.0945,-1.43112)
1641: (x,y)=(-24.8356,-2.39704)
1642: (x,y)=(-25.2264,-1.47654)
1643: (x,y)=(-25.2264,-2.47654)
1644: (x,y)=(-25.2264,-1.47654)
1645: (x,y)=(-25.9084,-0.745184)
1646: (x,y)=(-25.2392,-0.00203899)
1647: (x,y)=(-25.2218,0.997809)
1648: (x,y)=(-25.0654,1.9855)
1649: (x,y)=(-24.9782,2.98169)
1650: (x,y)=(-24.8218,3.96938)
1651: (x,y)=(-25.1473,4.9149)
1652: (x,y)=(-24.6779,4.03195)
1653: (x,y)=(-24.8515,3.04714)
1654: (x,y)=(-24.7123,2.05688)
1655: (x,y)=(-25.5214,2.64466)
1656: (x,y)=(-24.802,3.33932)
1657: (x,y)=(-24.3953,2.42577)
1658: (x,y)=(-25.1384,3.0949)
1659: (x,y)=(-26.1261,3.25134)
1660: (x,y)=(-26.7822,4.00605)
1661: (x,y)=(-26.0751,3.29894)
1662: (x,y)=(-25.6367,2.40015)
1663: (x,y)=(-25.5844,3.39878)
1664: (x,y)=(-24.8412,4.06791)
1665: (x,y)=(-24.1592,4.79926)
1666: (x,y)=(-24.8663,5.50637)
1667: (x,y)=(-25.1587,6.46267)
1668: (x,y)=(-25.1238,7.46206)
1669: (x,y)=(-25.5622,6.56327)
1670: (x,y)=(-25.2366,5.61775)
1671: (x,y)=(-24.239,5.68751)
1672: (x,y)=(-23.2465,5.56564)
1673: (x,y)=(-22.8881,6.49922)
1674: (x,y)=(-21.8906,6.42946)
1675: (x,y)=(-22.3754,7.30408)
1676: (x,y)=(-23.3497,7.52903)
1677: (x,y)=(-22.3511,7.58137)
1678: (x,y)=(-23.2908,7.23935)
1679: (x,y)=(-22.689,6.44071)
1680: (x,y)=(-22.1298,7.26975)
1681: (x,y)=(-21.1787,6.96073)
1682: (x,y)=(-22.0078,7.51993)
1683: (x,y)=(-22.9641,7.8123)
1684: (x,y)=(-23.7832,8.38587)
1685: (x,y)=(-24.6313,8.91579)
1686: (x,y)=(-23.9621,9.65894)
1687: (x,y)=(-24.2378,10.6202)
1688: (x,y)=(-25.1441,11.0428)
1689: (x,y)=(-24.8021,11.9825)
1690: (x,y)=(-24.9412,10.9922)
1691: (x,y)=(-24.0207,11.383)
1692: (x,y)=(-24.9412,11.7737)
1693: (x,y)=(-25.5973,12.5284)
1694: (x,y)=(-26.5428,12.854)
1695: (x,y)=(-25.5685,12.629)
1696: (x,y)=(-26.5678,12.6639)
1697: (x,y)=(-25.6849,12.1945)
1698: (x,y)=(-24.7146,11.9525)
1699: (x,y)=(-25.6056,12.4065)
1700: (x,y)=(-26.6055,12.3891)
1701: (x,y)=(-27.5714,12.1303)
1702: (x,y)=(-26.6259,11.8047)
1703: (x,y)=(-25.9831,11.0386)
1704: (x,y)=(-26.9341,11.3477)
1705: (x,y)=(-26.5274,10.4341)
1706: (x,y)=(-25.8981,11.2113)
1707: (x,y)=(-26.2564,10.2777)
1708: (x,y)=(-27.2308,10.5026)
1709: (x,y)=(-27.1959,9.50324)
1710: (x,y)=(-26.2623,9.86161)
1711: (x,y)=(-25.6467,9.0736)
1712: (x,y)=(-24.648,9.12594)
1713: (x,y)=(-25.6297,9.31674)
1714: (x,y)=(-25.7688,10.307)
1715: (x,y)=(-24.7872,10.4978)
1716: (x,y)=(-25.2412,11.3888)
1717: (x,y)=(-24.9993,12.3591)
1718: (x,y)=(-25.8653,11.8591)
1719: (x,y)=(-26.2879,10.9528)
1720: (x,y)=(-25.9789,10.0018)
1721: (x,y)=(-26.6736,9.28242)
1722: (x,y)=(-25.728,9.60799)
1723: (x,y)=(-26.2431,10.4652)
1724: (x,y)=(-27.0202,11.0945)
1725: (x,y)=(-26.0257,11.199)
1726: (x,y)=(-25.2167,10.6112)
1727: (x,y)=(-24.826,11.5317)
1728: (x,y)=(-25.777,11.8407)
1729: (x,y)=(-24.7893,11.9972)
1730: (x,y)=(-25.588,11.3954)
1731: (x,y)=(-25.134,12.2864)
1732: (x,y)=(-25.7768,13.0524)
1733: (x,y)=(-25.189,13.8614)
1734: (x,y)=(-24.2187,14.1033)
1735: (x,y)=(-23.2405,14.3113)
1736: (x,y)=(-24.161,14.702)
1737: (x,y)=(-25.044,14.2325)
1738: (x,y)=(-24.0877,13.9401)
1739: (x,y)=(-23.4859,14.7388)
1740: (x,y)=(-22.6568,15.298)
1741: (x,y)=(-21.9622,14.5786)
1742: (x,y)=(-22.2041,13.6083)
1743: (x,y)=(-22.0996,12.6138)
1744: (x,y)=(-21.1148,12.7875)
1745: (x,y)=(-20.4456,12.0443)
1746: (x,y)=(-21.4238,11.8364)
1747: (x,y)=(-22.0394,11.0484)
1748: (x,y)=(-22.9666,11.423)
1749: (x,y)=(-23.6486,12.1544)
1750: (x,y)=(-23.274,13.0815)
1751: (x,y)=(-23.5328,14.0475)
1752: (x,y)=(-22.8135,13.3528)
1753: (x,y)=(-21.8159,13.4226)
1754: (x,y)=(-22.5473,14.1046)
1755: (x,y)=(-21.641,14.5272)
1756: (x,y)=(-21.1259,13.67)
1757: (x,y)=(-20.5381,12.861)
1758: (x,y)=(-19.761,12.2317)
1759: (x,y)=(-20.6673,11.8091)
1760: (x,y)=(-21.1213,10.9181)
1761: (x,y)=(-20.1432,11.126)
1762: (x,y)=(-20.8863,11.7951)
1763: (x,y)=(-20.0773,12.3829)
1764: (x,y)=(-19.3001,11.7536)
1765: (x,y)=(-18.4255,12.2384)
1766: (x,y)=(-18.3036,13.2309)
1767: (x,y)=(-17.5489,12.5749)
1768: (x,y)=(-18.4694,12.1841)
1769: (x,y)=(-19.3081,12.7288)
1770: (x,y)=(-19.55,13.6991)
1771: (x,y)=(-19.0806,12.8161)
1772: (x,y)=(-19.4389,11.8825)
1773: (x,y)=(-18.8096,12.6597)
1774: (x,y)=(-18.2504,11.8306)
1775: (x,y)=(-19.1492,12.269)
1776: (x,y)=(-20.0697,12.6597)
1777: (x,y)=(-19.7773,13.6161)
1778: (x,y)=(-20.6064,13.0569)
1779: (x,y)=(-20.2974,12.1058)
1780: (x,y)=(-19.4227,12.5906)
1781: (x,y)=(-19.8454,11.6843)
1782: (x,y)=(-19.0467,12.2861)
1783: (x,y)=(-18.4449,13.0848)
1784: (x,y)=(-18.3578,14.0809)
1785: (x,y)=(-19.0005,14.847)
1786: (x,y)=(-19.8752,15.3318)
1787: (x,y)=(-19.736,14.3415)
1788: (x,y)=(-19.3453,13.421)
1789: (x,y)=(-20.3439,13.4734)
1790: (x,y)=(-20.8287,14.348)
1791: (x,y)=(-20.074,15.004)
1792: (x,y)=(-19.3669,14.2969)
1793: (x,y)=(-20.2657,13.8586)
1794: (x,y)=(-19.3996,14.3586)
1795: (x,y)=(-20.119,13.6639)
1796: (x,y)=(-20.8136,12.9446)
1797: (x,y)=(-21.7953,13.1354)
1798: (x,y)=(-21.3105,12.2608)
1799: (x,y)=(-20.8565,13.1518)
1800: (x,y)=(-21.4011,13.9904)
1801: (x,y)=(-22.1082,14.6975)
1802: (x,y)=(-22.2474,13.7073)
1803: (x,y)=(-22.3345,12.7111)
1804: (x,y)=(-21.3359,12.7634)
1805: (x,y)=(-20.3365,12.7983)
1806: (x,y)=(-19.4302,12.3757)
1807: (x,y)=(-18.4377,12.4976)
1808: (x,y)=(-19.2948,13.0126)
1809: (x,y)=(-19.7016,12.0991)
1810: (x,y)=(-20.3962,11.3797)
1811: (x,y)=(-20.0379,10.4461)
1812: (x,y)=(-19.0453,10.3243)
1813: (x,y)=(-19.8,9.66821)
1814: (x,y)=(-19.2701,8.82016)
1815: (x,y)=(-19.7396,7.93721)
1816: (x,y)=(-20.6056,8.43721)
1817: (x,y)=(-20.4664,7.44695)
1818: (x,y)=(-21.0958,6.6698)
1819: (x,y)=(-20.2477,6.13988)
1820: (x,y)=(-19.6459,5.34124)
1821: (x,y)=(-18.9028,6.01038)
1822: (x,y)=(-19.4028,6.8764)
1823: (x,y)=(-19.1104,7.83271)
1824: (x,y)=(-19.284,6.8479)
1825: (x,y)=(-20.0827,7.44971)
1826: (x,y)=(-19.8407,8.42001)
1827: (x,y)=(-18.8591,8.2292)
1828: (x,y)=(-19.7163,7.71416)
1829: (x,y)=(-18.726,7.85333)
1830: (x,y)=(-19.6006,8.33814)
1831: (x,y)=(-18.6671,7.97978)
1832: (x,y)=(-19.2548,8.78879)
1833: (x,y)=(-20.1029,8.25887)
1834: (x,y)=(-21.0365,7.90051)
1835: (x,y)=(-21.2614,6.92614)
1836: (x,y)=(-21.5033,7.89643)
1837: (x,y)=(-22.4305,8.27104)
1838: (x,y)=(-22.4829,7.27241)
1839: (x,y)=(-21.6637,7.84599)
1840: (x,y)=(-20.9206,8.51512)
1841: (x,y)=(-21.5633,7.74907)
1842: (x,y)=(-22.5293,8.00789)
1843: (x,y)=(-21.9415,7.19887)
1844: (x,y)=(-22.7705,7.75807)
1845: (x,y)=(-22.4285,8.69776)
1846: (x,y)=(-21.4626,8.95658)
1847: (x,y)=(-22.1939,8.27458)
1848: (x,y)=(-21.311,7.80511)
1849: (x,y)=(-22.2446,8.16348)
1850: (x,y)=(-21.7906,9.05448)
1851: (x,y)=(-22.0325,8.08419)
1852: (x,y)=(-21.2554,7.45487)
1853: (x,y)=(-22.1689,7.04813)
1854: (x,y)=(-22.1689,8.04813)
1855: (x,y)=(-23.1392,7.80621)
1856: (x,y)=(-22.4964,7.04016)
1857: (x,y)=(-23.2035,7.74727)
1858: (x,y)=(-22.2187,7.57362)
1859: (x,y)=(-22.3406,8.56617)
1860: (x,y)=(-22.2708,9.56373)
1861: (x,y)=(-21.4618,10.1515)
1862: (x,y)=(-21.4443,9.15167)
1863: (x,y)=(-22.1263,8.42032)
1864: (x,y)=(-21.2276,8.85869)
1865: (x,y)=(-21.8836,9.6134)
1866: (x,y)=(-21.4452,8.7146)
1867: (x,y)=(-22.3515,9.13722)
1868: (x,y)=(-22.4561,10.1317)
1869: (x,y)=(-21.4998,10.4241)
1870: (x,y)=(-21.4126,11.4203)
1871: (x,y)=(-22.4003,11.2639)
1872: (x,y)=(-22.9881,10.4549)
1873: (x,y)=(-23.9336,10.7804)
1874: (x,y)=(-24.3243,9.85992)
1875: (x,y)=(-23.4333,9.40593)
1876: (x,y)=(-22.527,9.82855)
1877: (x,y)=(-21.5567,10.0705)
1878: (x,y)=(-22.3657,9.48269)
1879: (x,y)=(-21.4322,9.84105)
1880: (x,y)=(-21.691,10.807)
1881: (x,y)=(-22.1136,9.90067)
1882: (x,y)=(-21.2656,9.37075)
1883: (x,y)=(-21.4735,10.3489)
1884: (x,y)=(-22.4007,10.7235)
1885: (x,y)=(-22.1083,11.6798)
1886: (x,y)=(-22.6382,10.8318)
1887: (x,y)=(-22.0646,11.6509)
1888: (x,y)=(-21.2986,11.0081)
1889: (x,y)=(-22.1732,11.4929)
1890: (x,y)=(-22.4488,12.4542)
1891: (x,y)=(-23.2969,12.9841)
1892: (x,y)=(-24.2894,12.8622)
1893: (x,y)=(-25.1466,12.3472)
1894: (x,y)=(-24.5448,11.5486)
1895: (x,y)=(-23.5545,11.4094)
1896: (x,y)=(-22.562,11.2875)
1897: (x,y)=(-21.5917,11.0456)
1898: (x,y)=(-21.644,12.0442)
1899: (x,y)=(-22.5186,12.5291)
1900: (x,y)=(-21.903,13.3171)
1901: (x,y)=(-20.9182,13.4907)
1902: (x,y)=(-21.8245,13.0681)
1903: (x,y)=(-22.8243,13.0506)
1904: (x,y)=(-22.0472,13.68)
1905: (x,y)=(-22.9382,13.226)
1906: (x,y)=(-23.7472,12.6382)
1907: (x,y)=(-22.9486,12.0364)
1908: (x,y)=(-22.2414,12.7435)
1909: (x,y)=(-22.9486,13.4506)
1910: (x,y)=(-23.7472,12.8488)
1911: (x,y)=(-24.5859,13.3934)
1912: (x,y)=(-23.7029,12.9239)
1913: (x,y)=(-23.1437,12.0949)
1914: (x,y)=(-24.1253,12.2857)
1915: (x,y)=(-24.9914,11.7857)
1916: (x,y)=(-25.6474,12.5404)
1917: (x,y)=(-24.6862,12.8161)
1918: (x,y)=(-25.2454,13.6451)
1919: (x,y)=(-26.2113,13.9039)
1920: (x,y)=(-26.8541,14.67)
1921: (x,y)=(-27.6927,14.1253)
1922: (x,y)=(-26.9981,13.406)
1923: (x,y)=(-26.6725,14.3515)
1924: (x,y)=(-26.1133,13.5225)
1925: (x,y)=(-25.1208,13.6443)
1926: (x,y)=(-24.1872,13.286)
1927: (x,y)=(-23.3582,13.8451)
1928: (x,y)=(-24.3507,13.7233)
1929: (x,y)=(-23.6436,13.0162)
1930: (x,y)=(-24.1131,13.8991)
1931: (x,y)=(-23.1155,13.9689)
1932: (x,y)=(-24.0814,13.7101)
1933: (x,y)=(-23.5368,14.5487)
1934: (x,y)=(-23.0218,15.4059)
1935: (x,y)=(-23.7878,14.7631)
1936: (x,y)=(-24.7275,14.4211)
1937: (x,y)=(-25.5365,13.8333)
1938: (x,y)=(-25.5016,14.8327)
1939: (x,y)=(-26.4942,14.9546)
1940: (x,y)=(-26.5639,15.9521)
1941: (x,y)=(-25.5736,15.813)
1942: (x,y)=(-26.3928,16.3865)
1943: (x,y)=(-27.3776,16.5602)
1944: (x,y)=(-27.5855,17.5383)
1945: (x,y)=(-28.4685,18.0078)
1946: (x,y)=(-27.9685,18.8738)
1947: (x,y)=(-28.6113,19.6399)
